Date,Open,Price,High,Low,Close,Volume,cpi
11/5/2018,68.45,83.4,68.73,68.09,68.18,88728.2,5.319542
11/1/2018,70.09,83.64,70.09,68.18,68.27,201316.49,5.319542
10/31/2018,67.91,83.56,69.36,67.09,69,795798.28,5.322567
10/30/2018,66.82,83.54,68.18,65.82,67.73,461688.69,5.322567
10/29/2018,64.27,84.1,66.82,64.27,66.27,180761.89,5.322567
10/25/2018,67.82,84.1,68.18,66.36,66.82,96990.3,5.322567
10/24/2018,67.73,84.1,69.09,66.82,67.64,115121.6,5.322567
10/23/2018,68.64,83.47,69.09,66.36,67.73,187438.89,5.322567
10/22/2018,69.73,83.52,70,68.18,68.55,236945.49,5.322567
10/18/2018,70.91,83.6,70.91,69.45,69.91,218084.89,5.322567
10/17/2018,72.64,83.34,72.64,70.55,70.82,211493.69,5.322567
10/16/2018,72.18,83.58,72.73,71.36,72.45,258237.09,5.322567
10/15/2018,73.36,83.5,73.45,71.45,72.18,232174.79,5.322567
10/11/2018,74,83.74,76.27,74,74.55,970513.47,5.322567
10/10/2018,74.91,83.66,75.18,73.64,73.91,154669.9,5.322567
10/9/2018,73.64,83.26,77,73.64,74.82,921464.47,5.322567
10/8/2018,73.55,83.58,74.09,73,73.36,361409.39,5.322567
10/4/2018,73.91,83.61,75.09,71.82,72.55,530671.88,5.322567
10/3/2018,73.91,83.78,75.27,73.64,73.91,117363.4,5.322567
10/2/2018,75,83.42,75.82,73.64,73.82,129960.6,5.322567
10/1/2018,74.55,83.26,75.36,73.73,73.91,69411.1,5.322567
9/27/2018,75.27,83.66,75.27,73.82,74.27,136539.7,5.333058
9/26/2018,75.36,83.94,75.82,74.55,75.27,197572.09,5.333058
9/25/2018,74.73,83.18,76.45,74.27,75.27,258564.89,5.333058
9/24/2018,75.82,83.42,77.18,74.64,74.73,210658.79,5.333058
9/20/2018,77.45,83.42,77.82,74.45,75.09,595035.08,5.333058
9/19/2018,78.18,83.5,78.45,77.27,77.45,241025.39,5.333058
9/18/2018,78.18,83.42,79.09,77.73,78.09,94531.8,5.333058
9/17/2018,79.82,83.18,79.82,77.55,77.82,248650.59,5.333058
9/13/2018,80,83.42,80.18,78.73,79.18,250933.09,5.333058
9/12/2018,80.64,83.58,80.82,79.55,79.82,124072.3,5.333058
9/11/2018,80.55,83.63,81.64,79.18,80.09,435675.89,5.333058
9/10/2018,80.73,83.45,81.36,80.36,80.55,121238.7,5.333058
9/6/2018,81.18,83.85,82.73,80.64,80.82,282314.99,5.333058
9/5/2018,80.55,83.61,81.82,80.45,80.91,194347.99,5.333058
9/4/2018,80,83.45,82.36,80,80.64,150053.2,5.333058
9/3/2018,81,83.48,81.36,80.73,80.82,188817.19,5.333058
8/30/2018,81.36,83.72,82,80.27,80.82,307042.99,5.478597
8/29/2018,82.18,83.44,82.18,81.18,81.45,150173.1,5.478597
8/28/2018,83.55,83.24,83.73,81.36,81.91,269913.59,5.478597
8/27/2018,82.91,83.56,85,82.73,83.36,510970.88,5.478597
8/20/2018,79,83.48,79.91,78.45,78.55,264841.49,5.478597
8/16/2018,79.64,83.72,80,78.64,78.82,344323.09,5.478597
8/14/2018,79.27,83.66,79.73,78.91,79.55,106373.3,5.478597
8/13/2018,80.91,83.56,80.91,76.82,78.45,351320.19,5.478597
8/9/2018,80.91,83.5,83.18,80,80.55,253276.09,5.478597
8/8/2018,81.36,83.49,83.36,80.09,80.45,322864.29,5.478597
8/7/2018,80.09,83.48,81.82,80.09,81.36,241689.79,5.478597
8/6/2018,80.45,83.24,81.36,80,80.36,101071.3,5.478597
8/2/2018,80.73,83.08,82.27,80.45,80.91,193201.79,5.478597
8/1/2018,80.91,83.88,81.36,80.36,80.73,82745.3,5.478597
7/31/2018,80.73,83.65,81,80,80.18,198774.39,5.564388
7/30/2018,81.82,83.74,81.82,80.36,80.73,170623.19,5.564388
7/26/2018,82.73,83.48,83.18,81.27,81.91,408957.99,5.564388
7/25/2018,83.09,83.72,83.45,82.36,82.55,378855.39,5.564388
7/24/2018,84.09,83.88,84.36,82.91,83.09,374733.69,5.564388
7/23/2018,84.82,83.07,86.82,84.09,84.36,631347.18,5.564388
7/19/2018,83.36,83.15,83.55,82.36,82.55,659053.98,5.564388
7/18/2018,83.82,83.63,83.82,82,82.55,339604.09,5.564388
7/17/2018,82.09,83.6,82.91,81.82,82.27,279011.69,5.564388
7/16/2018,82.55,83.64,83.36,81.82,82,270367.89,5.564388
7/12/2018,84.73,83.36,85.18,82.27,83,273478.69,5.564388
7/11/2018,83.55,83.82,87.27,83.55,84.64,459438.09,5.564388
7/10/2018,84.09,83.61,84.09,82.45,83.55,467320.69,5.564388
7/9/2018,84.18,83.52,84.82,83,83.45,229590.89,5.564388
7/5/2018,83.18,83.42,83.64,82,83.18,322012.89,5.564388
7/4/2018,81.55,83.74,82.82,81.45,81.55,332427.69,5.564388
7/3/2018,83.64,83.7,84.55,81.45,81.73,379906.99,5.564388
7/2/2018,85.45,83.77,86.36,82.73,83.55,306993.49,5.564388
6/28/2018,87.55,85.02,88.36,85,85.36,272021.19,5.493768
6/27/2018,88.82,84.78,89.55,86.36,87.45,541934.78,5.493768
6/26/2018,87.73,85.05,88.09,86.82,87.45,867711.87,5.493768
6/25/2018,89.18,85,89.91,87.36,87.73,344090.99,5.493768
6/21/2018,87.91,84.95,90,87.45,89.09,806827.98,5.493768
6/20/2018,86.91,84.6,88.18,86.45,87.09,222602.59,5.493768
6/19/2018,86.73,84.75,87,85.36,85.55,256276.89,5.493768
6/18/2018,87.27,83.69,89.09,85.09,86.73,120755.8,5.493768
6/12/2018,87.73,83.67,88.18,87.09,87.27,219511.59,5.493768
6/11/2018,88,83.68,88,86.55,87.27,109893.3,5.493768
6/7/2018,91.73,83.62,91.73,88.64,89.18,170173.3,5.493768
6/6/2018,91.73,83.57,92.73,89.64,90.18,106559.2,5.493768
6/5/2018,92.73,83.69,93,90.73,90.91,307264.09,5.493768
